DATE,CPMNACNSAB1GQDE
2004-01-01,550180.0
2004-04-01,560160.0
2004-07-01,570660.0
2004-10-01,581520.0
2005-01-01,550540.0
2005-04-01,568040.0
2005-07-01,578390.0
2005-10-01,591340.0
2006-01-01,574770.0
2006-04-01,586070.0
2006-07-01,600940.0
2006-10-01,623300.0
2007-01-01,607990.0
2007-04-01,614050.0
2007-07-01,630140.0
2007-10-01,647370.0
2008-01-01,626240.0
2008-04-01,637830.0
2008-07-01,641490.0
2008-10-01,640930.0
2009-01-01,594030.0
2009-04-01,597350.0
2009-07-01,618740.0
2009-10-01,635610.0
2010-01-01,616590.0
2010-04-01,627500.0
2010-07-01,651380.0
2010-10-01,668930.0
2011-01-01,659010.0
2011-04-01,660420.0
2011-07-01,682290.0
2011-10-01,691840.0
2012-01-01,678510.0
2012-04-01,672110.0
2012-07-01,692940.0
2012-10-01,701750.0
2013-01-01,682360.0
2013-04-01,692930.0
2013-07-01,714670.0
2013-10-01,721390.0
2014-01-01,716700.0
2014-04-01,717360.0
2014-07-01,740720.0
2014-10-01,752650.0
2015-01-01,737210.0
2015-04-01,741980.0
2015-07-01,765670.0
2015-10-01,781320.0
2016-01-01,762950.0
2016-04-01,779080.0
2016-07-01,788980.0
2016-10-01,803730.0
2017-01-01,798840.0
2017-04-01,801190.0
2017-07-01,823940.0
2017-10-01,843190.0
2018-01-01,823520.0
2018-04-01,833550.0
2018-07-01,842260.0
2018-10-01,866120.0
2019-01-01,851580.0
2019-04-01,852840.0
2019-07-01,877650.0
2019-10-01,891190.0
2020-01-01,866910.0
2020-04-01,787350.0
2020-07-01,861590.0
2020-10-01,889580.0
2021-01-01,862030.0
2021-04-01,878060.0
2021-07-01,915990.0
2021-10-01,945670.0
2022-01-01,938990.0
2022-04-01,948580.0
2022-07-01,972170.0
2022-10-01,1007310.0
